Year,Type of speed,Value
2000,,8.17
2001,,16.39
2002,,21.68
2003,,23.16
2004,,24.58
2005,,25.03
2006,,28.72
2007,,29.98
2008,,31.44
2009,,33.11
2009,2MT10MBPS,2.34
2009,256KT2MBPS,0
2009,10MBPS,30.76
2010,,34.7
2010,2MT10MBPS,1.65
2010,256KT2MBPS,0
2010,10MBPS,33.04
2011,,35.9
2011,2MT10MBPS,1.21
2011,256KT2MBPS,0
2011,10MBPS,34.69
2012,,36.54
2012,2MT10MBPS,0
2012,256KT2MBPS,0
2012,10MBPS,36.54
2013,,37.35
2013,2MT10MBPS,0
2013,256KT2MBPS,0
2013,10MBPS,37.35
2014,,38.1
2014,2MT10MBPS,0
2014,256KT2MBPS,0
2014,10MBPS,38.1
2015,,39.58
2015,2MT10MBPS,0
2015,256KT2MBPS,0
2015,10MBPS,39.58
2016,,40.47
2016,2MT10MBPS,0
2016,256KT2MBPS,0
2016,10MBPS,40.47
2017,,41.58
2017,2MT10MBPS,0
2017,256KT2MBPS,0
2017,10MBPS,41.58
