Year,Sex,Value
2000,,0.9
2000,Male,1.0
2000,Female,0.7
2001,,0.8
2001,Male,1.0
2001,Female,0.6
2002,,0.6
2002,Male,0.8
2002,Female,0.4
2003,,0.5
2003,Male,0.7
2003,Female,0.5
2004,,0.5
2004,Male,0.7
2004,Female,0.3
2005,,0.6
2005,Male,0.7
2005,Female,0.4
2006,,0.6
2006,Male,0.8
2006,Female,0.4
2007,,0.5
2007,Male,0.7
2007,Female,0.2
2008,,0.5
2008,Male,0.7
2008,Female,0.2
2009,,0.4
2009,Male,0.6
2009,Female,0.2
2010,,0.4
2010,Male,0.7
2010,Female,0.2
2011,,0.4
2011,Male,0.6
2011,Female,0.2
2012,,0.6
2012,Male,0.8
2012,Female,0.3
2013,,0.5
2013,Male,0.7
2013,Female,0.3
2014,,0.4
2014,Male,0.5
2014,Female,0.3
2015,,0.4
2015,Male,0.6
2015,Female,0.3
2016,,0.6
2016,Male,0.8
2016,Female,0.4
2017,,0.6
2017,Male,0.8
2017,Female,0.3
2018,,0.6
2018,Male,0.8
2018,Female,0.3
2019,,0.4
2019,Male,0.6
2019,Female,0.3
