Year,Device type,Sex,Age,Value
2018,Smartphone,,,91.0
2018,Smartphone,Male,,93.4
2018,Smartphone,Female,,88.6
2018,Smartphone,,6-10,95.5
2018,Smartphone,,20-29,99.9
2018,Smartphone,,30-39,99.9
2018,Smartphone,,40-49,99.7
2018,Smartphone,,50-59,98.4
2018,Smartphone,,60-69,87.5
2018,Smartphone,,70+,36.3
2019,Smartphone,,,92.2
2019,Smartphone,Male,,94.4
2019,Smartphone,Female,,90.0
2019,Smartphone,,6-10,96.6
2019,Smartphone,,20-29,99.9
2019,Smartphone,,30-39,99.9
2019,Smartphone,,40-49,99.9
2019,Smartphone,,50-59,99.8
2019,Smartphone,,60-69,92.0
2019,Smartphone,,70+,40.2
