Year,Units,Value
2000,1인당 국내물질소비량(톤),15.7955
2001,1인당 국내물질소비량(톤),16.26135
2002,1인당 국내물질소비량(톤),16.46484
2003,1인당 국내물질소비량(톤),17.28639
2004,1인당 국내물질소비량(톤),16.99455
2005,1인당 국내물질소비량(톤),15.4661
2006,1인당 국내물질소비량(톤),15.52364
2007,1인당 국내물질소비량(톤),16.23488
2008,1인당 국내물질소비량(톤),16.27868
2009,1인당 국내물질소비량(톤),15.9601
2010,1인당 국내물질소비량(톤),15.9241
2011,1인당 국내물질소비량(톤),15.86373
2012,1인당 국내물질소비량(톤),15.71003
2013,1인당 국내물질소비량(톤),15.64822
2014,1인당 국내물질소비량(톤),15.75547
2015,1인당 국내물질소비량(톤),15.81035
2016,1인당 국내물질소비량(톤),15.83407
2017,1인당 국내물질소비량(톤),15.86009
2017,1인당 국내물질소비량(톤),15.86009
2000,1인당 국내물질소비량(톤),15.7955
2001,1인당 국내물질소비량(톤),16.26135
2002,1인당 국내물질소비량(톤),16.46484
2003,1인당 국내물질소비량(톤),17.28639
2004,1인당 국내물질소비량(톤),16.99455
2005,1인당 국내물질소비량(톤),15.4661
2006,1인당 국내물질소비량(톤),15.52364
2007,1인당 국내물질소비량(톤),16.23488
2008,1인당 국내물질소비량(톤),16.27868
2009,1인당 국내물질소비량(톤),15.9601
2010,1인당 국내물질소비량(톤),15.9241
2011,1인당 국내물질소비량(톤),15.86373
2012,1인당 국내물질소비량(톤),15.71003
2013,1인당 국내물질소비량(톤),15.64822
2014,1인당 국내물질소비량(톤),15.75547
2015,1인당 국내물질소비량(톤),15.81035
2016,1인당 국내물질소비량(톤),15.83407
2000,GDP당 국내물질소비량(kg/USD),1.05416
2001,GDP당 국내물질소비량(kg/USD),1.04542
2002,GDP당 국내물질소비량(kg/USD),0.9913
2003,GDP당 국내물질소비량(kg/USD),1.01659
2004,GDP당 국내물질소비량(kg/USD),0.95734
2005,GDP당 국내물질소비량(kg/USD),0.84198
2006,GDP당 국내물질소비량(kg/USD),0.80662
2007,GDP당 국내물질소비량(kg/USD),0.8026
2008,GDP당 국내물질소비량(kg/USD),0.78512
2009,GDP당 국내물질소비량(kg/USD),0.76683
2010,GDP당 국내물질소비량(kg/USD),0.72095
2011,GDP당 국내물질소비량(kg/USD),0.6954
2012,GDP당 국내물질소비량(kg/USD),0.67604
2013,GDP당 국내물질소비량(kg/USD),0.65727
2014,GDP당 국내물질소비량(kg/USD),0.64314
2015,GDP당 국내물질소비량(kg/USD),0.63045
2016,GDP당 국내물질소비량(kg/USD),0.61583
2017,GDP당 국내물질소비량(kg/USD),0.60075
2016,GDP당 국내물질소비량(kg/USD),0.61583
2017,GDP당 국내물질소비량(kg/USD),0.60075
2000,GDP당 국내물질소비량(kg/USD),1.05416
2001,GDP당 국내물질소비량(kg/USD),1.04542
2002,GDP당 국내물질소비량(kg/USD),0.9913
2003,GDP당 국내물질소비량(kg/USD),1.01659
2004,GDP당 국내물질소비량(kg/USD),0.95734
2005,GDP당 국내물질소비량(kg/USD),0.84198
2006,GDP당 국내물질소비량(kg/USD),0.80662
2007,GDP당 국내물질소비량(kg/USD),0.8026
2008,GDP당 국내물질소비량(kg/USD),0.78512
2009,GDP당 국내물질소비량(kg/USD),0.76683
2010,GDP당 국내물질소비량(kg/USD),0.72095
2011,GDP당 국내물질소비량(kg/USD),0.6954
2012,GDP당 국내물질소비량(kg/USD),0.67604
2013,GDP당 국내물질소비량(kg/USD),0.65727
2014,GDP당 국내물질소비량(kg/USD),0.64314
2015,GDP당 국내물질소비량(kg/USD),0.63045
2000,국내물질소비량(톤),748490484.0917
2001,국내물질소비량(톤),775874187.4784
2002,국내물질소비량(톤),790391219.9322
2003,국내물질소비량(톤),834328293.0297
2004,국내물질소비량(톤),824202919.2061
2005,국내물질소비량(톤),753330701.8279
2006,국내물질소비량(톤),759041505.6929
2007,국내물질소비량(톤),796522460.2974
2008,국내물질소비량(톤),801220040.9081
2009,국내물질소비량(톤),788097114.0133
2010,국내물질소비량(톤),789084534.3696
2011,국내물질소비량(톤),789136054.5326
2012,국내물질소비량(톤),784751029.7887
2013,국내물질소비량(톤),785059447.8147
2014,국내물질소비량(톤),793848162.8975
2015,국내물질소비량(톤),799903310.2076
2016,국내물질소비량(톤),804242813.9997
2017,국내물질소비량(톤),808582317.7917
2017,국내물질소비량(톤),808582317.7917
2000,국내물질소비량(톤),748490484.0917
2001,국내물질소비량(톤),775874187.4784
2002,국내물질소비량(톤),790391219.9322
2003,국내물질소비량(톤),834328293.0297
2004,국내물질소비량(톤),824202919.2061
2005,국내물질소비량(톤),753330701.8279
2006,국내물질소비량(톤),759041505.6929
2007,국내물질소비량(톤),796522460.2974
2008,국내물질소비량(톤),801220040.9081
2009,국내물질소비량(톤),788097114.0133
2010,국내물질소비량(톤),789084534.3696
2011,국내물질소비량(톤),789136054.5326
2012,국내물질소비량(톤),784751029.7887
2013,국내물질소비량(톤),785059447.8147
2014,국내물질소비량(톤),793848162.8975
2015,국내물질소비량(톤),799903310.2076
2016,국내물질소비량(톤),804242813.9997
