Year,data.IHR_Capacity,Value
2010,IHR01,50
2010,IHR02,73
2010,IHR03,84
2010,IHR04,65
2010,IHR05,85
2010,IHR06,80
2010,IHR07,83
2010,IHR08,87
2010,IHR09,100
2010,IHR10,69
2010,IHR11,80
2010,IHR12,42
2010,IHR13,66
2012,IHR01,100
2012,IHR02,100
2012,IHR03,100
2012,IHR04,100
2012,IHR05,100
2012,IHR06,100
2012,IHR07,100
2012,IHR08,100
2012,IHR09,100
2012,IHR10,100
2012,IHR11,100
2012,IHR12,100
2012,IHR13,100
2013,IHR01,100
2013,IHR02,100
2013,IHR03,100
2013,IHR04,100
2013,IHR05,100
2013,IHR06,100
2013,IHR07,100
2013,IHR08,100
2013,IHR09,100
2013,IHR10,100
2013,IHR11,100
2013,IHR12,100
2013,IHR13,100
2014,IHR01,100
2014,IHR02,100
2014,IHR03,100
2014,IHR04,100
2014,IHR05,100
2014,IHR06,100
2014,IHR07,100
2014,IHR08,96
2014,IHR09,100
2014,IHR10,100
2014,IHR11,100
2014,IHR12,100
2014,IHR13,100
2017,IHR01,100
2017,IHR02,90
2017,IHR03,100
2017,IHR04,94
2017,IHR05,100
2017,IHR06,100
2017,IHR07,100
2017,IHR08,100
2017,IHR09,89
2017,IHR10,100
2017,IHR11,100
2017,IHR12,100
2017,IHR13,100
2018,IHR01,93
2018,IHR02,80
2018,IHR03,100
2018,IHR04,100
2018,IHR05,100
2018,IHR06,100
2018,IHR07,100
2018,IHR08,100
2018,IHR09,100
2018,IHR10,80
2018,IHR11,90
2018,IHR12,80
2018,IHR13,100
2019,IHR01,100
2019,IHR02,80
2019,IHR03,100
2019,IHR04,100
2019,IHR05,100
2019,IHR06,100
2019,IHR07,100
2019,IHR08,100
2019,IHR09,100
2019,IHR10,80
2019,IHR11,100
2019,IHR12,100
2019,IHR13,100
